,Tweets,clean_tweet,polarity,subjectivity,,Product,,,
20-03-2020 10:24,"b'RT @olakesi: @IkejaElectric @followlasg @NGRPresident this is from residents of Sparklight estate Opic, protesting because they don\xe2\x80\x99t have\xe2\x80\xa6'",this from residents Sparklight estate Opic protesting because they have,0,0,,0,,,
20-03-2020 10:10,"b'RT @olakesi: @IkejaElectric @followlasg @NGRPresident this is from residents of Sparklight estate Opic, protesting because they don\xe2\x80\x99t have\xe2\x80\xa6'",this from residents Sparklight estate Opic protesting because they have,0,0,,0,,,
20-03-2020 09:45,b'Sparklight Estate has been in total darkness for over a week due to a faulty transformer sold to the community by I\xe2\x80\xa6 https://t.co/cF5rjRQiPU',Sparklight Estate been total darkness over week faulty transformer sold community https rjRQiPU,0,0,,0,,,
20-03-2020 09:19,"b'RT @olakesi: @IkejaElectric @followlasg @NGRPresident this is from residents of Sparklight estate Opic, protesting because they don\xe2\x80\x99t have\xe2\x80\xa6'",this from residents Sparklight estate Opic protesting because they have,0,0,,0,,,
20-03-2020 09:06,"b'@IkejaElectric @followlasg @NGRPresident this is from residents of Sparklight estate Opic, protesting because they\xe2\x80\xa6 https://t.co/C9r0BrNFLz'",this from residents Sparklight estate Opic protesting because they https BrNFLz,0,0,,0,,,
20-03-2020 07:46,b'Take the Vision to the Top Julie! The #Sparklight. https://t.co/TDXtkaTzes',Take Vision Julie Sparklight https TDXtkaTzes,0.05,0.5,,0.025,,,
20-03-2020 07:40,b'Sparklight loves RURAL and TRADES it for anything.  Thank you CableOne/Sparklight - CABO for your continued commitm\xe2\x80\xa6 https://t.co/eAow7PfvgJ',Sparklight loves RURAL TRADES anything Thank CableOne Sparklight CABO your continued commitm https eAow PfvgJ,0.1,0.55,,0.055,,,
20-03-2020 04:10,b'https://t.co/SuHZ5W8Mjh Sparklight Offers Low Cost Internet to Assist Families in Need During Coronavirus (COVID-19) Crisis',https SuHZ Sparklight Offers Cost Internet Assist Families Need During Coronavirus COVID Crisis,0,0,,0,,,
21-03-2020 04:27,b'Sparklight offers $10/month internet during public health crisis - CBS7 News https://t.co/5jyiq6pTQ1 https://t.co/bVpo6shRv1',Sparklight offers month internet during public health crisis News https jyiq https bVpo shRv,0,0,,0,,,
21-03-2020 03:20,"b'@patgotweet @sparklight Thank you Patricia. I\xe2\x80\x99ve been having that problem for a week, multiple times a day. I call\xe2\x80\xa6 https://t.co/Pg6PUBNStp'",Thank Patricia been having that problem week multiple times call https PUBNStp,0,0.1,,0,,,
21-03-2020 00:28,"b'Anyone else having trouble with @Sparklight lately? Channels freezing, etc.'",Anyone else having trouble with lately Channels freezing,0,0.066666667,,0,,,
